NP_027421.1	NP_027421.1; NP_001077869.1; NP_001318180.1; NP_001324640.1	486; 486; 486; 486	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171964.1	NP_171964.1; NP_001320433.1	1042; 1042	Pfam	; 	; 	; 	; 	; 
NP_171967.1	NP_171967.1; NP_180871.1; NP_001031469.1	219; 221; 229	Pfam	PF00957, PF13774; ; 	Synaptobrevin, Regulated-SNARE-like domain; ; 	3.9E-33, 7.1E-20; ; 	IPR001388, IPR010908; ; 	Synaptobrevin, Longin domain; ; 
NP_171968.1	NP_171968.1; NP_001323352.1	220; 220	Pfam	; 	; 	; 	; 	; 
NP_171974.1	NP_171974.1; NP_175423.1; NP_193232.1; NP_197478.1; NP_197479.1; NP_176654.1	450; 450; 450; 450; 450; 450	Pfam	; ; PF00091, PF03953; ; ; 	; ; Tubulin/FtsZ family, GTPase domain, Tubulin C-terminal domain; ; ; 	; ; 4.7E-68, 8.1E-51; ; ; 	; ; IPR003008, IPR018316; ; ; 	; ; Tubulin/FtsZ, GTPase domain, Tubulin/FtsZ, 2-layer sandwich domain; ; ; 
NP_171987.1	NP_171987.1; NP_001030969.1; NP_849592.1	549; 549; 549	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171997.1	NP_171997.1; NP_001117228.1	166; 157	Pfam	; 	; 	; 	; 	; 
NP_172008.1	NP_172008.1; NP_001320198.1	490; 490	Pfam	; PF00067	; Cytochrome P450	; 1.6E-67	; IPR001128	; Cytochrome P450
NP_172012.2	NP_172012.2; NP_001030971.1; NP_001320831.1	959; 959; 959	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172015.1	NP_172015.1; NP_001184911.1; NP_001322673.1; NP_001322674.1; NP_001322675.1; NP_001322676.1; NP_001322677.1; NP_001322678.1; NP_001322680.1; NP_849596.1; NP_001117231.1	721; 721; 721; 721; 721; 721; 721; 721; 721; 721; 719	Pfam	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 
NP_172024.3	NP_172024.3; NP_001030972.2; NP_001030973.2; NP_001321439.1; NP_001321440.1; NP_001321442.1; NP_001321443.1	790; 790; 790; 790; 790; 790; 790	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_172031.4	NP_172031.4; NP_001154305.1	132; 132	Pfam	; 	; 	; 	; 	; 
NP_172038.4	NP_172038.4; NP_001322092.1	617; 617	Pfam	; 	; 	; 	; 	; 
NP_172046.4	NP_172046.4; NP_001322399.1	236; 236	Pfam	; 	; 	; 	; 	; 
NP_172050.1	NP_172050.1; NP_001318927.1; NP_001323090.1	580; 580; 580	Pfam	; PF14845, PF00728; 	; beta-acetyl hexosaminidase like, Glycosyl hydrolase family 20, catalytic domain; 	; 6.0E-18, 5.2E-102; 	; IPR029019, IPR015883; 	; Beta-hexosaminidase, eukaryotic type, N-terminal, Glycoside hydrolase family 20, catalytic domain; 
NP_172051.1	NP_172051.1; NP_001184914.1; NP_001318928.1	504; 504; 504	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172052.2	NP_172052.2; NP_001322344.1	476; 482	Pfam	; PF00483	; Nucleotidyl transferase	; 4.3E-42	; IPR005835	; Nucleotidyl transferase domain
NP_172058.2	NP_172058.2; NP_001154307.2; NP_001318929.1	281; 281; 281	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172066.3	NP_172066.3; NP_001322717.1	500; 500	Pfam	; PF01535, PF13041	; PPR repeat, PPR repeat family	; 4.9E-6, 1.1E-9	; IPR002885, IPR002885	; Pentatricopeptide repeat, Pentatricopeptide repeat
NP_172074.6	NP_172074.6; NP_001077464.4; NP_001321563.1; NP_001321564.1	1083; 1083; 1083; 1083	Pfam	; ; ; PF13832, PF05964, PF00856, PF00855, PF05965, PF13831	; ; ; PHD-zinc-finger like domain, F/Y-rich N-terminus, SET domain, PWWP domain, F/Y rich C-terminus, PHD-finger	; ; ; 1.5E-32, 1.0E-14, 4.0E-16, 1.7E-14, 1.3E-10, 5.8E-7	; ; ; -, IPR003888, IPR001214, IPR000313, IPR003889, -	; ; ; -, FY-rich, N-terminal, SET domain, PWWP domain, FY-rich, C-terminal, -
NP_172076.1	NP_172076.1; NP_001321426.1	321; 321	Pfam	; 	; 	; 	; 	; 
NP_172077.1	NP_172077.1; NP_001322939.1	280; 280	Pfam	; PF13891	; Potential DNA-binding domain	; 2.3E-15	; IPR025927	; Potential DNA-binding domain
NP_172078.2	NP_172078.2; NP_001184917.1; NP_001184918.1; NP_001320773.1; NP_001320774.1; NP_001320775.1; NP_001320776.1; NP_001320777.1; NP_001320778.1; NP_001320779.1; NP_001320780.1; NP_973766.1	189; 189; 189; 189; 189; 189; 189; 189; 189; 189; 189; 189	Pfam	; ; ; ; ; ; ; ; ; PF07939; ; 	; ; ; ; ; ; ; ; ; Protein of unknown function (DUF1685); ; 	; ; ; ; ; ; ; ; ; 8.0E-26; ; 	; ; ; ; ; ; ; ; ; IPR012881; ; 	; ; ; ; ; ; ; ; ; Protein of unknown function DUF1685; ; 
NP_172079.2	NP_172079.2; NP_001184919.1	489; 496	Pfam	; PF01485	; IBR domain, a half RING-finger domain	; 4.1E-6	; IPR002867	; IBR domain
NP_172088.2	NP_172088.2; NP_001030978.1	198; 200	Pfam	; 	; 	; 	; 	; 
NP_172107.1	NP_172107.1; NP_973769.1	420; 420	Pfam	PF00010; 	Helix-loop-helix DNA-binding domain; 	2.9E-8; 	IPR011598; 	Myc-type, basic helix-loop-helix (bHLH) domain; 
NP_172112.1	NP_172112.1; NP_001321282.1; NP_849600.1	987; 987; 987	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172113.1	NP_172113.1; NP_001184922.1; NP_001318932.1; NP_849601.1	730; 730; 730; 730	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_172127.1	NP_172127.1; NP_973771.1; NP_180655.1	407; 407; 412	Pfam	PF00069; ; 	Protein kinase domain; ; 	8.5E-64; ; 	IPR000719; ; 	Protein kinase domain; ; 
NP_172129.1	NP_172129.1; NP_001321475.1; NP_001321476.1	851; 851; 851	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172135.2	NP_172135.2; NP_001318934.1; NP_001321854.1; NP_973772.1	414; 414; 414; 414	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_172155.1	NP_172155.1; NP_001030981.1; NP_001322793.1	361; 361; 361	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172156.2	NP_172156.2; NP_001321172.1; NP_001321177.1; NP_001321178.1; NP_001321182.1; NP_001321183.1; NP_001321184.1; NP_001321185.1; NP_001321186.1; NP_001321187.1; NP_001321188.1; NP_001321189.1; NP_001321173.1; NP_001321174.1; NP_001321175.1; NP_001321176.1; NP_001321179.1; NP_001321180.1; NP_001321181.1	997; 997; 997; 997; 997; 997; 997; 997; 997; 997; 997; 997; 987; 987; 987; 987; 987; 987; 987	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_172160.4	NP_172160.4; NP_001321412.1; NP_001184924.1	519; 519; 526	Pfam	; ; PF06414	; ; Zeta toxin	; ; 3.6E-15	; ; IPR010488	; ; Zeta toxin domain
NP_172161.1	NP_172161.1; NP_001189643.1	198; 202	Pfam	; 	; 	; 	; 	; 
NP_172167.2	NP_172167.2; NP_001322209.1	595; 586	Pfam	; 	; 	; 	; 	; 
NP_172172.2	NP_172172.2; NP_001077471.1; NP_001320783.1; NP_001184926.1; NP_001154542.1; NP_180604.4; NP_001324800.1; NP_001324798.1; NP_001324799.1; NP_001324801.1	357; 357; 352; 353; 353; 353; 342; 332; 332; 332	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
NP_172182.2	NP_172182.2; NP_001117240.1	389; 385	Pfam	; 	; 	; 	; 	; 
NP_172188.1	NP_172188.1; NP_177567.1; NP_191134.1; NP_001319158.1; NP_001320865.1	112; 112; 111; 111; 111	Pfam	; ; ; PF01247; 	; ; ; Ribosomal protein L35Ae; 	; ; ; 4.0E-44; 	; ; ; IPR001780; 	; ; ; Ribosomal protein L35A; 
NP_172195.1	NP_172195.1; NP_001184927.1	499; 493	Pfam	; 	; 	; 	; 	; 
NP_172208.2	NP_172208.2; NP_001030984.1; NP_001117242.1	552; 552; 552	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172210.1	NP_172210.1; NP_001321587.1	128; 134	Pfam	; 	; 	; 	; 	; 
NP_172217.1	NP_172217.1; NP_180517.1	263; 264	Pfam	; 	; 	; 	; 	; 
NP_172218.1	NP_172218.1; NP_001321129.1	779; 780	Pfam	; 	; 	; 	; 	; 
NP_172220.1	NP_172220.1; NP_176195.1	157; 155	Pfam	; PF00011	; Hsp20/alpha crystallin family	; 2.5E-31	; IPR002068	; Alpha crystallin/Hsp20 domain
NP_172228.3	NP_172228.3; NP_850937.1; NP_001320976.1; NP_001320242.1; NP_563790.1	375; 375; 381; 375; 375	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_172232.1	NP_172232.1; NP_001322139.1	695; 696	Pfam	; PF03514	; GRAS domain family	; 8.3E-102	; IPR005202	; Transcription factor GRAS
NP_172237.1	NP_172237.1; NP_001320608.1; NP_973778.1	410; 410; 410	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172241.2	NP_172241.2; NP_001322857.1; NP_001322858.1	552; 552; 552	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172244.2	NP_172244.2; NP_001184930.1	1014; 1020	Pfam	; 	; 	; 	; 	; 
NP_172246.3	NP_172246.3; NP_001321027.1; NP_172259.1	1061; 1061; 1061	Pfam	; ; PF00702, PF13246, PF00690, PF00689, PF00122	; ; haloacid dehalogenase-like hydrolase, Cation transport ATPase (P-type), Cation transporter/ATPase, N-terminus, Cation transporting ATPase, C-terminus, E1-E2 ATPase	; ; 1.5E-17, 1.4E-15, 6.3E-18, 2.2E-49, 1.0E-50	; ; -, -, IPR004014, IPR006068, -	; ; -, -, Cation-transporting P-type ATPase, N-terminal, Cation-transporting P-type ATPase, C-terminal, -
NP_172248.4	NP_172248.4; NP_001320913.1; NP_001320914.1	179; 183; 179	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172250.1	NP_172250.1; NP_001318946.1	543; 543	Pfam	; 	; 	; 	; 	; 
NP_172256.1	NP_172256.1; NP_001318947.1; NP_200793.1; NP_973783.1; NP_190190.1; NP_181491.2	130; 130; 130; 130; 130; 130	Pfam	; ; ; ; PF00410; PF00410	; ; ; ; Ribosomal protein S8; Ribosomal protein S8	; ; ; ; 2.9E-21; 4.0E-22	; ; ; ; IPR000630; IPR000630	; ; ; ; Ribosomal protein S8; Ribosomal protein S8
NP_172257.1	NP_172257.1; NP_001184931.1; NP_001322383.1; NP_001322384.1; NP_001322386.1; NP_001322387.1; NP_849606.1; NP_973784.2; NP_196178.2	275; 275; 275; 275; 275; 275; 275; 275; 275	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_172258.1	NP_172258.1; NP_200799.1; NP_180440.1; NP_190189.1; NP_190184.1; NP_001319739.1; NP_197679.1; NP_181283.1	148; 150; 151; 145; 150; 138; 145; 138	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_172267.1	NP_172267.1; NP_001030991.2; NP_001077482.1; NP_001117244.1; NP_001318949.1; NP_849607.1; NP_973786.1; NP_001077481.1	250; 250; 250; 250; 250; 250; 250; 249	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_172274.1	NP_172274.1; NP_001318951.1; NP_973787.1; NP_973788.1	146; 146; 146; 146	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_172278.1	NP_172278.1; NP_973790.1	308; 308	Pfam	; 	; 	; 	; 	; 
NP_172279.1	NP_172279.1; NP_001077485.1; NP_001320942.1	303; 303; 303	Pfam	; ; PF00320	; ; GATA zinc finger	; ; 1.1E-17	; ; IPR000679	; ; Zinc finger, GATA-type
NP_172291.1	NP_172291.1; NP_001030995.1; NP_849609.1	185; 185; 185	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_172304.1	NP_172304.1; NP_973792.1	126; 132	Pfam	; 	; 	; 	; 	; 
NP_172308.2	NP_172308.2; NP_001077488.1	315; 318	Pfam	; PF12697	; Alpha/beta hydrolase family	; 1.8E-13	; IPR000073	; Alpha/beta hydrolase fold-1
