ko_id	category1	category2	function	Arabidopsis_thaliana.batch_run_hsds_id	Arabidopsis_thaliana.batch_run_hsds_genes	Arabidopsis_thaliana.batch_run_hsds_num	Chlamydomonas_reinhardtii.batch_run_hsds_id	Chlamydomonas_reinhardtii.batch_run_hsds_genes	Chlamydomonas_reinhardtii.batch_run_hsds_num
K15633	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase 	NP_187471.1	NP_187471.1; NP_850542.1; NP_563852.1	1			
K01689	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ENO, eno; enolase 	NP_181192.1	NP_181192.1; NP_001324936.1	1			
K00873	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PK, pyk; pyruvate kinase 	NP_191124.1, NP_187055.1, NP_194369.1, NP_565850.1, NP_190485.1	NP_191124.1; NP_191140.1, NP_187055.1; NP_191124.1; NP_001331216.1; NP_001331217.1; NP_201173.1; NP_001318514.1; NP_001331120.1; NP_196474.1, NP_194369.1; NP_200446.1, NP_565850.1; NP_566976.1, NP_190485.1; NP_001325914.1	5	XP_042927684.1	XP_042927684.1; XP_042927685.1; XP_042927686.1	1
K01006	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ppdK; pyruvate, orthophosphate dikinase 	NP_193288.2	NP_193288.2; NP_001078395.1; NP_001078396.1; NP_001118987.1; NP_849391.2; NP_001031647.1; NP_001328869.1	1	XP_042914963.1	XP_042914963.1; XP_042919927.1	1
K00161	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PHA, pdhA; pyruvate dehydrogenase E1 component alpha subunit 	NP_176198.1	NP_176198.1; NP_001321393.1	1			
K00162	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PHB, pdhB; pyruvate dehydrogenase E1 component beta subunit 	NP_174304.1	NP_174304.1; NP_181006.1	1			
K00627	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	LAT, aceF, pdhC; pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) 	NP_190788.1, NP_564654.1, NP_174703.1	NP_190788.1; NP_001190070.1, NP_564654.1; NP_001031186.1; NP_566470.1, NP_174703.1; NP_189215.1	3			
K00382	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	L, lpd, pdh; dihydrolipoamide dehydrogenase 	NP_175237.1, NP_566562.1	NP_175237.1; NP_001322047.1; NP_001322048.1; NP_001322049.1; NP_849782.1; NP_566570.3; NP_851005.1, NP_566562.1; NP_001078165.1; NP_567487.5	2	XP_001695163.1	XP_001695163.1; XP_042914276.1	1
K01568	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	PC, pdc; pyruvate decarboxylase 	NP_195033.1	NP_195033.1; NP_195752.1; NP_195753.1; NP_200307.1	1			
K00121	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	frmA, AH5, adhC; S-(hydroxymethyl)glutathione dehydrogenase / alcohol dehydrogenase 	NP_173659.1, NP_199207.1	NP_173659.1; NP_001031079.1; NP_567645.1; NP_974589.1; NP_173660.1; NP_199040.1; NP_173659.1; NP_001031079.1; NP_567645.1; NP_974589.1; NP_173660.1; NP_001321091.1; NP_001321089.1; NP_001321090.1; NP_001328577.1, NP_199207.1; NP_001190468.1	2	XP_042919155.1	XP_042919155.1; XP_042919158.1; XP_042919157.1; XP_042919156.1	1
K00001	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	E1.1.1.1, adh; alcohol dehydrogenase 	NP_176652.3	NP_176652.3; NP_001077773.1; NP_001323423.1; NP_564409.1	1			
K00002	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	AKR1A1, adh; alcohol dehydrogenase (NAP+) 	NP_195787.2, NP_181313.3	NP_195787.2; NP_850750.1, NP_181313.3; NP_001031505.1; NP_181315.2; NP_001325825.1; NP_190956.1; NP_001078019.1; NP_973627.1; NP_001118465.1; NP_565871.1; NP_973626.2; NP_001324984.1; NP_001324985.1	2			
K00128	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ALH; aldehyde dehydrogenase (NA+) 	NP_175081.1, NP_190383.1	NP_175081.1; NP_849770.1; NP_001077676.1; NP_001329320.1; NP_567962.1; NP_001329319.1; NP_974679.1; NP_195348.2, NP_190383.1; NP_564204.1	2			
K14085	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	ALH7A1; aldehyde dehydrogenase family 7 member A1 	NP_175812.1	NP_175812.1; NP_849807.1	1			
K01785	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	galM, GALM; aldose 1-epimerase 	NP_186775.4, NP_190364.1	NP_186775.4; NP_197018.1, NP_190364.1; NP_566594.2	2			
K01835	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	pgm; phosphoglucomutase 	NP_173732.1	NP_173732.1; NP_001154465.1; NP_177230.1; NP_001154464.1; NP_199995.1	1			
K01792	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	E5.1.3.15; glucose-6-phosphate 1-epimerase 	NP_191720.1, NP_566143.1, NP_201454.1, NP_194104.1	NP_191720.1; NP_001327278.1, NP_566143.1; NP_850493.1; NP_568301.1; NP_001331998.1, NP_201454.1; NP_001190635.1; NP_001318889.1; NP_001331258.1, NP_194104.1; NP_001329803.1; NP_001329804.1	4			
K00131	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	gapN; glyceraldehyde-3-phosphate dehydrogenase (NAP+) 	NP_180004.1	NP_180004.1; NP_001189589.1; NP_001189590.1; NP_001318281.1	1			
K01610	09101 Carbohydrate metabolism	00010 Glycolysis / Gluconeogenesis [PATH:ko00010]	E4.1.1.49, pckA; phosphoenolpyruvate carboxykinase (ATP) 	NP_195500.1	NP_195500.1; NP_001331433.1; NP_680468.1; NP_001331432.1; NP_001331431.1	1			
K01647	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	CS, gltA; citrate synthase 	NP_181807.1, NP_191569.2	NP_181807.1; NP_191434.1; NP_191433.1, NP_191569.2; NP_001327513.1; NP_001327512.1; NP_001324515.1; NP_566016.1; NP_001324514.1; NP_850415.1	2			
K01648	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	ACLY; ATP citrate (pro-S)-lyase 	NP_187317.1, NP_172537.1	NP_187317.1; NP_001326324.1; NP_001332247.1; NP_199757.1, NP_172537.1; NP_001184954.1; NP_849634.1; NP_001184953.1; NP_001320572.1; NP_176280.1	2			
K00030	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	IH3; isocitrate dehydrogenase (NA+) 	NP_179304.1, NP_568113.1	NP_179304.1; NP_849963.1, NP_568113.1; NP_850549.1	2			
K00164	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	OGH, sucA; 2-oxoglutarate dehydrogenase E1 component 	NP_191101.2	NP_191101.2; NP_001327477.1; NP_201376.1	1			
K00658	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	LST, sucB; 2-oxoglutarate dehydrogenase E2 component (dihydrolipoamide succinyltransferase) 	NP_200318.1	NP_200318.1; NP_001330709.1; NP_849452.1; NP_567761.1; NP_849453.1	1			
K01899	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	LSC1; succinyl-CoA synthetase alpha subunit 	NP_196447.1	NP_196447.1; NP_197716.1; NP_001119263.1; NP_001331781.1	1			
K00235	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	SHB, SH2; succinate dehydrogenase (ubiquinone) iron-sulfur subunit 	NP_189374.1	NP_189374.1; NP_001118718.1; NP_198881.1; NP_001332094.1; NP_680465.2; NP_001331888.1	1			
K00236	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	SHC, SH3; succinate dehydrogenase (ubiquinone) cytochrome b560 subunit	NP_194948.2	NP_194948.2; NP_001190268.1; NP_196522.1; NP_001078555.1	1			
K01679	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	E4.2.1.2B, fumC, FH; fumarate hydratase, class II 	NP_182273.1	NP_182273.1; NP_001078075.1; NP_001324328.1; NP_199908.1	1			
K00025	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	MH1; malate dehydrogenase 	NP_171936.1	NP_171936.1; NP_199147.1; NP_200483.2	1			
K00026	09101 Carbohydrate metabolism	00020 itrate cycle (TA cycle) [PATH:ko00020]	MH2; malate dehydrogenase 	NP_179863.1	NP_179863.1; NP_196528.1; NP_001330735.1; NP_001119199.1; NP_179863.1; NP_196528.1; NP_001330735.1; NP_001031860.1; NP_001119199.1; NP_001078556.1	1	XP_001693118.1	XP_001693118.1; XP_001703167.2; XP_001702586.1	1
K00036	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	G6P, zwf; glucose-6-phosphate 1-dehydrogenase 	NP_173838.1	NP_173838.1; NP_196815.2; NP_198428.1; NP_563844.1; NP_001184947.1; NP_001030780.1; NP_001078214.1; NP_189366.1; NP_001325680.1; NP_001325679.1; NP_001330361.1; NP_198892.1	1			
K01057	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	PGLS, pgl, devB; 6-phosphogluconolactonase 	NP_172826.1	NP_172826.1; NP_001318995.1; NP_001321621.1	1			
K00033	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	PG, gnd, gntZ; 6-phosphogluconate dehydrogenase 	NP_176601.1	NP_176601.1; NP_001318724.1; NP_001332670.1; NP_198982.1; NP_851113.1; NP_186885.1; NP_850502.1	1			
K01783	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	rpe, RPE; ribulose-phosphate 3-epimerase 	NP_200949.1, NP_176518.1	NP_200949.1; NP_851240.1, NP_176518.1; NP_566153.1; NP_850495.1	2			
K00615	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	E2.2.1.1, tktA, tktB; transketolase 	NP_566041.2	NP_566041.2; NP_001324258.1; NP_567103.1; NP_001190145.1	1			
K00616	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	E2.2.1.2, talA, talB; transaldolase 	NP_563900.1	NP_563900.1; NP_001184971.1	1			
K01807	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	rpiA; ribose 5-phosphate isomerase A 	NP_199265.1, NP_177266.1	NP_199265.1; NP_001331391.1, NP_177266.1; NP_178238.1; NP_187130.1	2			
K00852	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	rbsK, RBKS; ribokinase 	NP_173159.1	NP_173159.1; NP_001077551.1	1			
K00948	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	PRPS, prsA; ribose-phosphate pyrophosphokinase 	NP_174516.1	NP_174516.1; NP_850244.1; NP_001325018.1; NP_181082.1; NP_001031487.1; NP_181981.2; NP_001078057.1; NP_001322345.1	1			
K00851	09101 Carbohydrate metabolism	00030 Pentose phosphate pathway [PATH:ko00030]	E2.7.1.12, gntK, idnK; gluconokinase 	NP_565393.1	NP_565393.1; NP_001325317.1; NP_001118331.1; NP_001325318.1; NP_001325316.1	1			
K01051	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E3.1.1.11; pectinesterase 	NP_177152.2, NP_199561.1, NP_187212.1, NP_182226.1, NP_197586.1, NP_199962.1, NP_187683.2, NP_192139.1, NP_175118.2, NP_563662.1, NP_173733.1, NP_179755.1, NP_193333.1, NP_196359.1	NP_177152.2; NP_568181.1, NP_199561.1; NP_001331632.1; NP_200370.1, NP_187212.1; NP_198139.1, NP_182226.1; NP_182227.1; NP_191776.1, NP_197586.1; NP_001331066.1, NP_199962.1; NP_199963.1, NP_187683.2; NP_196116.1; NP_200149.1; NP_001332265.1; NP_190491.1; NP_001327221.1, NP_192139.1; NP_192141.1, NP_175118.2; NP_172604.1, NP_563662.1; NP_567227.1; NP_566103.1; NP_172624.1; NP_001321758.1; NP_200149.1; NP_190491.1; NP_001332265.1; NP_001327221.1, NP_173733.1; NP_172624.1; NP_001321758.1, NP_179755.1; NP_001324138.1, NP_193333.1; NP_001328819.1, NP_196359.1; NP_196360.1	14			
K01728	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	pel; pectate lyase 	NP_186776.1, NP_193939.1, NP_187357.1, NP_196051.2, NP_567707.1, NP_189110.1, NP_187565.1, NP_189376.1, NP_172894.1, NP_200383.1, NP_172656.1	NP_186776.1; NP_197015.4; NP_567409.1; NP_566979.1; NP_001331869.1, NP_193939.1; NP_193940.1, NP_187357.1; NP_001327532.1; NP_568705.1; NP_189110.1; NP_001190720.1; NP_567409.1; NP_193057.4; NP_001190715.1, NP_196051.2; NP_001318478.1; NP_196051.2; NP_001318478.1; NP_001331869.1, NP_567707.1; NP_001190827.1, NP_189110.1; NP_001190715.1; NP_568967.1; NP_563715.1, NP_187565.1; NP_001326950.1; NP_187565.1; NP_001326950.1; NP_187565.1; NP_001326950.1; NP_001326949.1, NP_189376.1; NP_001326295.1, NP_172894.1; NP_178375.1; NP_001190720.1; NP_189065.2, NP_200383.1; NP_001327532.1, NP_172656.1; NP_174324.1	11			
K01184	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E3.2.1.15; polygalacturonase 	NP_194963.2, NP_187454.2, NP_181915.1, NP_172056.1, NP_566524.1, NP_196969.1, NP_199296.1, NP_181916.1, NP_195292.2	NP_194963.2; NP_001320112.1; NP_001320113.1; NP_001328931.1, NP_187454.2; NP_850359.1; NP_191310.1, NP_181915.1; NP_191544.2; NP_001326406.1, NP_172056.1; NP_172057.1; NP_181917.1; NP_181916.1; NP_191544.2; NP_181915.1; NP_176735.1, NP_566524.1; NP_001327675.1; NP_001078162.1; NP_001327674.1, NP_196969.1; NP_189293.1, NP_199296.1; NP_001328602.1, NP_181916.1; NP_001324187.1, NP_195292.2; NP_198105.2	9			
K01213	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	E3.2.1.67; galacturan 1,4-alpha-galacturonidase 	NP_173158.1, NP_187442.1, NP_196969.1, NP_175004.1, NP_187439.1	NP_173158.1; NP_180230.1; NP_175003.1; NP_179147.1; NP_193112.2; NP_181560.1; NP_179149.2; NP_179148.1; NP_177961.2, NP_187442.1; NP_188020.1, NP_196969.1; NP_189293.1, NP_175004.1; NP_175005.1, NP_187439.1; NP_187440.1; NP_187441.1	5			
K16190	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	GLCAK; glucuronokinase 	NP_566144.2	NP_566144.2; NP_001327199.1	1			
K00012	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	UGH, ugd; UPglucose 6-dehydrogenase 	NP_173979.1	NP_173979.1; NP_001030792.1; NP_189582.1; NP_197053.1; NP_198748.1	1	XP_001698004.1	XP_001698004.1; XP_001703656.1; XP_042918684.1	1
K00963	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase 	NP_186975.1	NP_186975.1; NP_001327658.1; NP_001327659.1; NP_197233.1; NP_001330921.1; NP_850837.1; NP_001330919.1; NP_001330920.1; NP_001330922.1	1			
K00008	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	SOR, gutB; L-iditol 2-dehydrogenase 	NP_200010.1	NP_200010.1; NP_974925.1	1			
K22935	09101 Carbohydrate metabolism	00040 Pentose and glucuronate interconversions [PATH:ko00040]	XK1, psk; -ribulokinase 	NP_179732.2	NP_179732.2; NP_001323494.1; NP_973505.1; NP_001323495.1	1			
K19355	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	MAN; mannan endo-1,4-beta-mannosidase 	NP_171733.2, NP_187701.1, NP_201447.1	NP_171733.2; NP_001321462.1, NP_187701.1; NP_189675.2, NP_201447.1; NP_001321462.1	3			
K00847	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	E2.7.1.4, scrK; fructokinase 	NP_172092.1, NP_199996.1	NP_172092.1; NP_001318782.1; NP_199996.1; NP_172092.1; NP_172093.1, NP_199996.1; NP_001318782.1; NP_564875.2	2			
K01809	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	manA, MPI; mannose-6-phosphate isomerase 	NP_176878.1	NP_176878.1; NP_001319330.1; NP_001321710.1; NP_186906.1	1			
K00966	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	GMPP; mannose-1-phosphate guanylyltransferase 	NP_177629.1, NP_181507.1	NP_177629.1; NP_849886.1; NP_849887.1; NP_178542.2; NP_001324263.1, NP_181507.1; NP_001189713.1; NP_001325272.1	2			
K01711	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	gmd, GMS; GPmannose 4,6-dehydratase 	NP_190685.2	NP_190685.2; NP_201429.1	1			
K02377	09101 Carbohydrate metabolism	00051 Fructose and mannose metabolism [PATH:ko00051]	TSTA3, fcl; GP-L-fucose synthase 	NP_177468.2	NP_177468.2; NP_564040.1; NP_973853.1; NP_973854.1	1			
K01784	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	galE, GALE; UP-glucose 4-epimerase 	NP_172738.1	NP_172738.1; NP_564811.1; NP_001321118.1	1			
K01190	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	lacZ; beta-galactosidase 	NP_680128.1	NP_680128.1; NP_001030858.1; NP_001190087.1	1			
K12309	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GLB1, ELNR1; beta-galactosidase 	NP_565051.1	NP_565051.1; NP_001321343.1; NP_001321344.1; NP_001031273.1	1			
K18819	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	GOLS; inositol 3-alpha-galactosyltransferase 	NP_197768.1, NP_172406.1, NP_850902.1	NP_197768.1; NP_567741.2, NP_172406.1; NP_176053.1; NP_001320559.1, NP_850902.1; NP_001331308.1	3			
K06617	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E2.4.1.82; raffinose synthase 	NP_175970.1	NP_175970.1; NP_191311.1; NP_850715.1; NP_001031910.1; NP_197525.1; NP_851044.2; NP_001190347.1; NP_974451.1	1			
K07407	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E3.2.1.22B, galA, rafA; alpha-galactosidase 	NP_191190.2	NP_191190.2; NP_974447.1; NP_001031855.1; NP_568193.1; NP_196455.1; NP_001332077.1	1			
K01193	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	INV, sacA; beta-fructofuranosidase 	NP_187994.1, NP_563901.1, NP_568254.1, NP_564676.1, NP_190828.2	NP_187994.1; NP_001326013.1; NP_001326014.1, NP_563901.1; NP_564798.1; NP_001323301.1; NP_001323302.1; NP_001323303.1, NP_568254.1; NP_001330604.1; NP_001078574.1, NP_564676.1; NP_001320753.1; NP_001185230.1; NP_001117494.1; NP_001327313.1; NP_001327314.1; NP_001327315.1; NP_566464.1; NP_001189881.1, NP_190828.2; NP_001325488.1; NP_001030847.1	5			
K06611	09101 Carbohydrate metabolism	00052 Galactose metabolism [PATH:ko00052]	E2.4.1.67; stachyose synthetase 	NP_192106.3	NP_192106.3; NP_001328930.1	1			
K00469	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	MIOX; inositol oxygenase 	NP_172904.2	NP_172904.2; NP_001320937.1; NP_001154337.1; NP_001320938.1; NP_565459.1; NP_194356.2; NP_001190844.1; NP_001332424.1; NP_200475.1	1			
K10046	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	GME; GP--mannose 3', 5'-epimerase 	NP_198236.1	NP_198236.1; NP_001190417.1	1			
K14190	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	VTC2_5; GP-L-galactose phosphorylase 	NP_200323.1	NP_200323.1; NP_567759.1	1			
K10047	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	VTC4; inositol-phosphate phosphatase / L-galactose 1-phosphate phosphatase 	NP_186936.1	NP_186936.1; NP_001030626.1; NP_001118558.1	1			
K00225	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	GLH; L-galactono-1,4-lactone dehydrogenase 	NP_190376.1	NP_190376.1; NP_001319706.1	1			
K08232	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	E1.6.5.4; monodehydroascorbate reductase (NAH) 	NP_190856.1, NP_564818.1	NP_190856.1; NP_001154674.1; NP_568125.1; NP_566361.1; NP_001118607.1, NP_564818.1; NP_849839.1; NP_849841.1; NP_849840.1	2			
K00434	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	E1.11.1.11; L-ascorbate peroxidase 	NP_172267.1, NP_177873.1, NP_192640.1, NP_192579.1	NP_172267.1; NP_001030991.2; NP_001077482.1; NP_001117244.1; NP_001318949.1; NP_849607.1; NP_973786.1; NP_001077481.1; NP_001030664.1; NP_187575.2; NP_195226.1; NP_195321.1; NP_001328787.1, NP_177873.1; NP_001321064.1, NP_192640.1; NP_001329836.1; NP_001329837.1, NP_192579.1; NP_001319883.1; NP_974520.1; NP_001078356.2	4			
K00423	09101 Carbohydrate metabolism	00053 Ascorbate and aldarate metabolism [PATH:ko00053]	E1.10.3.3; L-ascorbate oxidase 	NP_197609.1, NP_175953.1	NP_197609.1; NP_680176.5; NP_001190353.1, NP_175953.1; NP_187947.1; NP_001319540.1; NP_187948.1; NP_564697.1	2			
K00696	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	E2.4.1.14; sucrose-phosphate synthase 	NP_192750.2	NP_192750.2; NP_001031609.1; NP_001329003.1	1			
K07024	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	SPP; sucrose-6-phosphatase 	NP_175553.1	NP_175553.1; NP_001322120.1; NP_001322121.1; NP_001322122.1; NP_001189687.1; NP_001325253.1; NP_565828.1; NP_973609.1; NP_001030846.1; NP_001326825.1; NP_566964.1; NP_974417.1; NP_190995.2	1			
K00695	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	E2.4.1.13; sucrose synthase 	NP_566865.2, NP_199730.1, NP_177480.1, NP_197583.1, NP_192137.1	NP_566865.2; NP_001326640.1, NP_199730.1; NP_001331823.1; NP_001331822.1, NP_177480.1; NP_001319374.1; NP_001185390.1; NP_001318683.1, NP_197583.1; NP_001031915.1; NP_001332603.1, NP_192137.1; NP_199730.1; NP_001331823.1	5			
K01513	09101 Carbohydrate metabolism	00500 Starch and sucrose metabolism [PATH:ko00500]	ENPP1_3, C203; ectonucleotide pyrophosphatase/phosphodiesterase family member 1/3 	NP_194697.1	NP_194697.1; NP_194698.1; NP_194699.1	1			
