NP_027421.1	NP_027421.1; NP_001077869.1; NP_001318180.1; NP_001324640.1	486; 486; 486; 486	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171642.2	NP_171642.2; NP_196260.1; NP_850780.1	343; 378; 378	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171646.1	NP_171646.1; NP_001322773.1; NP_171649.1; NP_001322549.1; NP_192016.1	480; 497; 481; 484; 480	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171651.1	NP_171651.1; NP_192018.1	664; 714	Pfam	; 	; 	; 	; 	; 
NP_171654.1	NP_171654.1; NP_182137.1	151; 166	Pfam	; 	; 	; 	; 	; 
NP_171655.1	NP_171655.1; NP_191710.1; NP_192867.1; NP_190539.1; NP_195491.1; NP_201381.1; NP_194350.1; NP_567330.1; NP_179866.1; NP_849572.1	496; 488; 495; 470; 469; 470; 447; 460; 474; 390	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
NP_171656.1	NP_171656.1; NP_001030928.1; NP_001321839.1; NP_001321838.1	177; 177; 204; 144	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171659.1	NP_171659.1; NP_001320252.1; NP_001320249.1; NP_001320251.1; NP_192037.2; NP_001031568.1; NP_001320250.1; NP_851177.1; NP_568776.2; NP_001327348.1; NP_187571.2; NP_001327351.1; NP_001030662.1; NP_001327349.1; NP_001327346.1; NP_001327347.1; NP_001327345.1; NP_001327350.1; NP_198542.1; NP_683543.1; NP_568108.1; NP_850756.1; NP_001031823.1; NP_001332134.1; NP_001332135.1; NP_568344.2; NP_173269.1; NP_001117304.1; NP_001332234.1	287; 287; 258; 258; 302; 303; 203; 330; 331; 298; 298; 278; 282; 282; 242; 242; 226; 226; 287; 336; 293; 293; 283; 265; 288; 387; 346; 372; 312	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_171664.1	NP_171664.1; NP_001319065.1; NP_173715.2; NP_001185067.1	725; 716; 716; 717	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171666.1	NP_171666.1; NP_191946.1; NP_182121.1; NP_176558.1; NP_200694.1	554; 553; 537; 523; 513	Pfam	PF00067; PF00067; PF00067; PF00067; PF00067	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450	3.2E-64; 3.8E-66; 6.6E-62; 4.3E-71; 2.4E-61	IPR001128; IPR001128; IPR001128; IPR001128; IPR001128	Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450; Cytochrome P450
NP_171670.1	NP_171670.1; NP_001318902.1	207; 186	Pfam	; 	; 	; 	; 	; 
NP_171671.2	NP_171671.2; NP_564815.1; NP_974082.1	540; 540; 540	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171672.1	NP_171672.1; NP_001321445.1	568; 569	Pfam	; 	; 	; 	; 	; 
NP_171673.2	NP_171673.2; NP_001321953.1	365; 365	Pfam	; 	; 	; 	; 	; 
NP_171676.1	NP_171676.1; NP_001332731.1	485; 489	Pfam	; 	; 	; 	; 	; 
NP_171681.3	NP_171681.3; NP_001322031.1; NP_001322030.1; NP_001322029.1	420; 420; 433; 419	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171684.2	NP_171684.2; NP_001320631.1; NP_191972.6; NP_001190645.1	1193; 1193; 1174; 1185	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171690.1	NP_171690.1; NP_001322240.1; NP_001322242.1; NP_001322241.1; NP_001322239.1	343; 346; 264; 267; 246	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171691.2	NP_171691.2; NP_001320987.1; NP_001184887.1; NP_001320986.1	599; 599; 598; 541	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171694.3	NP_171694.3; NP_001030933.1; NP_001322377.1; NP_001322376.1; NP_001322378.1	572; 547; 517; 503; 434	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171698.1	NP_171698.1; NP_191645.1	1750; 1793	Pfam	; 	; 	; 	; 	; 
NP_171702.1	NP_171702.1; NP_191922.1; NP_182056.1; NP_192962.1; NP_194773.1; NP_189024.1	434; 430; 437; 436; 429; 460	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_171704.2	NP_171704.2; NP_973737.1; NP_001322234.1	642; 543; 448	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171710.4	NP_171710.4; NP_001184889.1; NP_001321578.1	2431; 2377; 2378	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171712.2	NP_171712.2; NP_973741.1; NP_973740.1	332; 332; 306	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171719.2	NP_171719.2; NP_194241.3; NP_001031711.1; NP_201229.1; NP_851262.1	367; 418; 417; 362; 305	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171725.1	NP_171725.1; NP_566226.1; NP_171726.2; NP_171727.2; NP_001319468.1	394; 342; 359; 362; 292	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171728.2	NP_171728.2; NP_001320653.1	502; 502	Pfam	; 	; 	; 	; 	; 
NP_171730.1	NP_171730.1; NP_001117215.1	297; 297	Pfam	; 	; 	; 	; 	; 
NP_171738.1	NP_171738.1; NP_192079.1	272; 280	Pfam	; 	; 	; 	; 	; 
NP_171739.1	NP_171739.1; NP_567220.1	537; 502	Pfam	; 	; 	; 	; 	; 
NP_171740.3	NP_171740.3; NP_001329942.1; NP_192105.1; NP_001329941.1	231; 236; 236; 197	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171742.1	NP_171742.1; NP_001323245.1	329; 265	Pfam	; 	; 	; 	; 	; 
NP_171751.1	NP_171751.1; NP_849577.1; NP_001078345.1; NP_192094.1; NP_188365.1; NP_001118458.1; NP_181225.1	393; 393; 393; 393; 393; 390; 390	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_171758.2	NP_171758.2; NP_001184891.1	278; 276	Pfam	; 	; 	; 	; 	; 
NP_171763.1	NP_171763.1; NP_001030934.1	389; 345	Pfam	; 	; 	; 	; 	; 
NP_171765.1	NP_171765.1; NP_001321610.1; NP_192119.2; NP_182266.1; NP_001325408.1; NP_191816.1	513; 510; 546; 526; 515; 552	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_171767.1	NP_171767.1; NP_001321906.1; NP_001321907.1; NP_001321902.1; NP_001321904.1; NP_001321903.1; NP_001321905.1	678; 667; 663; 690; 616; 643; 528	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_171773.1	NP_171773.1; NP_186955.1; NP_001318575.1; NP_195532.1	1181; 1145; 1145; 1111	Pfam	; ; ; 	; ; ; 	; ; ; 	; ; ; 	; ; ; 
NP_171775.2	NP_171775.2; NP_001184892.1; NP_192129.1; NP_001154200.1; NP_849286.1; NP_001154594.1; NP_001327249.1; NP_187221.2; NP_187332.2; NP_001332206.1; NP_199734.2; NP_198051.1; NP_564715.4; NP_001319253.1	221; 205; 214; 228; 207; 234; 203; 223; 224; 206; 211; 222; 200; 206	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_171776.2	NP_171776.2; NP_173340.1; NP_001031085.2; NP_973904.1; NP_564210.2; NP_001077591.1; NP_001031086.1; NP_173807.2; NP_973905.1; NP_849702.1; NP_564211.1	316; 287; 252; 373; 272; 343; 302; 302; 368; 378; 373	Pfam	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 
NP_171781.1	NP_171781.1; NP_567231.1; NP_001078346.1	91; 97; 78	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171782.1	NP_171782.1; NP_198129.1; NP_001078112.1; NP_187207.1; NP_974229.1	127; 124; 124; 124; 124	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171789.1	NP_171789.1; NP_001319480.1; NP_567476.1; NP_001319570.1; NP_001327214.1; NP_001327215.1; NP_850219.1; NP_174148.1; NP_567413.1; NP_566740.1; NP_201508.1	120; 119; 116; 138; 138; 138; 110; 110; 113; 118; 129	Pfam	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 
NP_171790.1	NP_171790.1; NP_001320623.1	453; 370	Pfam	; 	; 	; 	; 	; 
NP_171793.1	NP_171793.1; NP_001322017.1; NP_001320441.1; NP_849581.1; NP_001323480.1; NP_850479.1; NP_001030937.1; NP_563670.1	256; 256; 255; 245; 263; 263; 243; 243	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171800.1	NP_171800.1; NP_001320177.1; NP_001320178.1; NP_182307.1; NP_001189774.1; NP_001324535.1; NP_973711.1; NP_001324534.1; NP_001324536.1	634; 607; 633; 635; 658; 517; 517; 444; 467	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_171802.2	NP_171802.2; NP_001320307.1	301; 294	Pfam	; 	; 	; 	; 	; 
NP_171804.1	NP_171804.1; NP_192174.2	599; 611	Pfam	; 	; 	; 	; 	; 
NP_171807.2	NP_171807.2; NP_001322258.1; NP_001322259.1	1733; 1733; 1733	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171811.1	NP_171811.1; NP_001322421.1; NP_188888.1; NP_188889.1; NP_198150.1	182; 135; 262; 256; 192	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171817.2	NP_171817.2; NP_001322982.1; NP_001030942.1; NP_001322981.1; NP_001322983.1; NP_001322984.1	265; 265; 251; 179; 179; 179	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_171818.1	NP_171818.1; NP_849584.1	758; 758	Pfam	; 	; 	; 	; 	; 
NP_171823.1	NP_171823.1; NP_001318912.1	42; 41	Pfam	; 	; 	; 	; 	; 
NP_171825.3	NP_171825.3; NP_197408.2; NP_001331805.1	274; 280; 232	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171826.2	NP_171826.2; NP_193160.3; NP_001031633.2; NP_193159.3; NP_195096.2; NP_001332390.1; NP_200091.2; NP_001324217.1; NP_001324218.1; NP_179058.3; NP_001332387.1; NP_001328231.1; NP_001328098.1; NP_001324216.1; NP_001332388.1; NP_001332389.1; NP_175166.2; NP_001321268.1; NP_001328097.1	499; 494; 485; 495; 424; 411; 500; 417; 423; 423; 457; 390; 341; 340; 393; 393; 527; 446; 290	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_171828.1	NP_171828.1; NP_001184898.1; NP_001322179.1; NP_001322180.1; NP_001322181.1; NP_001322182.1; NP_001190665.1; NP_192197.2	571; 571; 571; 571; 541; 519; 556; 552	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171830.1	NP_171830.1; NP_973751.1	882; 882	Pfam	; 	; 	; 	; 	; 
NP_171833.1	NP_171833.1; NP_567248.1; NP_849293.1	385; 418; 419	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171837.7	NP_171837.7; NP_564664.1	959; 927	Pfam	; 	; 	; 	; 	; 
NP_171845.2	NP_171845.2; NP_973752.1; NP_567249.1; NP_849294.1; NP_001329301.1	429; 438; 441; 439; 440	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171856.4	NP_171856.4; NP_001190668.1; NP_001329815.1; NP_680572.4; NP_173072.1; NP_198474.1; NP_001330834.1; NP_178081.2; NP_001320219.1; NP_001030624.1; NP_186924.1; NP_001319417.1; NP_001320220.1	462; 468; 468; 468; 491; 448; 462; 504; 500; 492; 492; 434; 434	Pfam	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 
NP_171859.1	NP_171859.1; NP_001321015.1; NP_001321016.1; NP_001321017.1; NP_001321019.1; NP_001321020.1; NP_001321021.1; NP_001321022.1; NP_001321023.1; NP_566027.1; NP_001078320.1; NP_567097.1; NP_850727.1	265; 265; 265; 265; 265; 265; 265; 265; 265; 266; 266; 266; 266	Pfam	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; 
NP_171860.1	NP_171860.1; NP_001030948.1; NP_001031731.1; NP_194474.1; NP_200230.1	401; 399; 401; 401; 405	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171865.4	NP_171865.4; NP_973753.2	381; 309	Pfam	; 	; 	; 	; 	; 
NP_171868.1	NP_171868.1; NP_001322034.1	274; 266	Pfam	; 	; 	; 	; 	; 
NP_171873.2	NP_171873.2; NP_001318915.1; NP_001184901.1; NP_001323367.1; NP_001323369.1; NP_199241.2; NP_001331587.1; NP_001154760.1; NP_001323368.1	460; 462; 468; 371; 371; 522; 400; 525; 344	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_171874.3	NP_171874.3; NP_973754.2; NP_001184902.1	687; 758; 790	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171877.1	NP_171877.1; NP_194573.1; NP_565774.1; NP_564202.1; NP_563874.1; NP_849632.1; NP_849633.1; NP_001322201.1	143; 153; 182; 137; 139; 139; 153; 100	Pfam	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 	; ; ; ; ; ; ; 
NP_171879.1	NP_171879.1; NP_001184903.1	991; 1013	Pfam	; 	; 	; 	; 	; 
NP_171884.1	NP_171884.1; NP_199225.1; NP_851128.1; NP_194581.1; NP_001328588.1; NP_851127.1; NP_849465.1; NP_849464.1; NP_001078459.1	455; 472; 368; 524; 378; 285; 453; 394; 396	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_171887.1	NP_171887.1; NP_001184904.1	672; 716	Pfam	; 	; 	; 	; 	; 
NP_171888.1	NP_171888.1; NP_001323295.1; NP_001318254.1; NP_179637.2; NP_188973.2; NP_001321465.1; NP_174352.1	569; 569; 569; 569; 568; 562; 562	Pfam	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 	; ; ; ; ; ; 
NP_171894.1	NP_171894.1; NP_001322971.1; NP_001322970.1; NP_199220.1; NP_001318916.1; NP_001332549.1	452; 474; 377; 485; 367; 449	Pfam	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 	; ; ; ; ; 
NP_171895.2	NP_171895.2; NP_001320082.1; NP_194586.1; NP_566729.1; NP_001325678.1	758; 748; 748; 746; 678	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171899.2	NP_171899.2; NP_001320872.1; NP_199217.1	434; 434; 416	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171901.3	NP_171901.3; NP_001320725.1; NP_001078702.1; NP_001078703.1; NP_001331767.1; NP_568631.1; NP_001331762.1; NP_974880.1; NP_001190469.1; NP_001331769.1; NP_001331770.1; NP_001331772.1; NP_001331768.1; NP_001331771.1; NP_001331763.1; NP_001331765.1; NP_001331766.1; NP_001331773.1; NP_001331764.1; NP_001320724.1	734; 734; 717; 717; 717; 717; 740; 740; 697; 697; 697; 697; 720; 720; 648; 648; 648; 648; 628; 630	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_171905.1	NP_171905.1; NP_199208.1; NP_197350.1; NP_566224.1; NP_001327779.1	572; 566; 553; 567; 545	Pfam	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 	; ; ; ; 
NP_171908.1	NP_171908.1; NP_001184906.1; NP_001322077.1; NP_187915.1; NP_001327928.1; NP_850575.1; NP_187916.3; NP_187917.3; NP_001327769.1; NP_191575.2; NP_001327770.1	1514; 1509; 1479; 1514; 1510; 1489; 1466; 1493; 1470; 1506; 1379	Pfam	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; 
NP_171916.2	NP_171916.2; NP_001322389.1; NP_001322388.1	732; 706; 630	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171919.3	NP_171919.3; NP_001320736.1	293; 292	Pfam	; 	; 	; 	; 	; 
NP_171921.1	NP_171921.1; NP_193191.2; NP_188945.1; NP_001329483.1; NP_187124.1; NP_001329484.1; NP_974355.1; NP_001329482.1; NP_001326465.1; NP_193192.1; NP_188943.1; NP_199183.1; NP_171920.1; NP_173011.1; NP_188173.1; NP_175692.1	229; 228; 243; 234; 236; 196; 210; 183; 167; 168; 174; 186; 189; 163; 197; 189	Pfam	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
NP_171926.3	NP_171926.3; NP_001077455.1	1074; 1082	Pfam	; 	; 	; 	; 	; 
NP_171927.1	NP_171927.1; NP_001323287.1; NP_001326955.1	645; 645; 604	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171928.1	NP_171928.1; NP_566723.1; NP_193181.3	100; 107; 125	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171931.1	NP_171931.1; NP_199155.1	381; 375	Pfam	; 	; 	; 	; 	; 
NP_171936.1	NP_171936.1; NP_199147.1; NP_200483.2	332; 332; 372	Pfam	; ; 	; ; 	; ; 	; ; 	; ; 
NP_171940.1	NP_171940.1; NP_180904.2; NP_001031740.1; NP_179633.2; NP_001319624.1; NP_188980.1; NP_001329671.1; NP_001326715.1; NP_001030953.1	220; 224; 216; 212; 193; 193; 183; 167; 177	Pfam	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; 
NP_171941.2	NP_171941.2; NP_180900.1	1035; 1039	Pfam	PF05664; PF05664	Unc-13 homolog; Unc-13 homolog	5.8E-286; 1.1E-292	-; -	-; -
NP_171943.2	NP_171943.2; NP_001077456.1; NP_001318919.1; NP_001321664.1; NP_001321665.1; NP_001321667.1; NP_001321668.1; NP_001321669.1; NP_001321666.1; NP_001078000.1	401; 401; 401; 401; 401; 401; 401; 401; 361; 448	Pfam	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 	; ; ; ; ; ; ; ; ; 
